         t             x1             x2             v1             v2             p1             p2
  1.600000       0.772792      -0.074852       1.037529      -0.524006       1.037529      -1.048011
  1.605000       0.777870      -0.077428       0.993660      -0.506267       0.993660      -1.012534
  1.610000       0.782728      -0.079915       0.949595      -0.488384       0.949595      -0.976768
  1.615000       0.787366      -0.082312       0.905342      -0.470362       0.905342      -0.940725
  1.620000       0.791781      -0.084618       0.860912      -0.452209       0.860912      -0.904417
  1.625000       0.795974      -0.086834       0.816314      -0.433929       0.816314      -0.867859
  1.630000       0.799944      -0.088957       0.771556      -0.415531       0.771556      -0.831061
  1.635000       0.803690      -0.090989       0.726648      -0.397019       0.726648      -0.794038
  1.640000       0.807210      -0.092927       0.681600      -0.378401       0.681600      -0.756802
  1.645000       0.810506      -0.094773       0.636421      -0.359682       0.636421      -0.719365
  1.650000       0.813574      -0.096524       0.591119      -0.340870       0.591119      -0.681741
  1.655000       0.816417      -0.098181       0.545705      -0.321971       0.545705      -0.643941
  1.660000       0.819031      -0.099744       0.500187      -0.302990       0.500187      -0.605980
  1.665000       0.821418      -0.101211       0.454575      -0.283935       0.454575      -0.567870
  1.670000       0.823577      -0.102583       0.408877      -0.264812       0.408877      -0.529624
  1.675000       0.825507      -0.103859       0.363103      -0.245628       0.363103      -0.491255
  1.680000       0.827208      -0.105039       0.317262      -0.226388       0.317262      -0.452776
  1.685000       0.828679      -0.106123       0.271363      -0.207099       0.271363      -0.414199
  1.690000       0.829921      -0.107110       0.225415      -0.187769       0.225415      -0.375537
  1.695000       0.830934      -0.108000       0.179427      -0.168402       0.179427      -0.336805
  1.700000       0.831716      -0.108794       0.133409      -0.149007       0.133409      -0.298014
  1.705000       0.832268      -0.109490       0.087368      -0.129588       0.087368      -0.259177
  1.710000       0.832589      -0.110090       0.041315      -0.110154       0.041315      -0.220307
  1.715000       0.832681      -0.110592      -0.004741      -0.090709      -0.004741      -0.181418
  1.720000       0.832542      -0.110997      -0.050790      -0.071261      -0.050790      -0.142523
  1.725000       0.832173      -0.111305      -0.096809      -0.051817      -0.096809      -0.103633
  1.730000       0.831574      -0.111515      -0.142779      -0.032381      -0.142779      -0.064763
  1.735000       0.830745      -0.111628      -0.188677      -0.012962      -0.188677      -0.025925
  1.740000       0.829687      -0.111645      -0.234481       0.006434      -0.234481       0.012869
  1.745000       0.828401      -0.111564      -0.280171       0.025802      -0.280171       0.051603
  1.750000       0.826886      -0.111387      -0.325724       0.045132      -0.325724       0.090264
  1.755000       0.825144      -0.111113      -0.371119       0.064418      -0.371119       0.128837
  1.760000       0.823175      -0.110743      -0.416336       0.083653      -0.416336       0.167305
  1.765000       0.820981      -0.110276      -0.461353       0.102828      -0.461353       0.205655
  1.770000       0.818562      -0.109715      -0.506149       0.121936      -0.506149       0.243872
  1.775000       0.815919      -0.109057      -0.550704       0.140970      -0.550704       0.281940
  1.780000       0.813055      -0.108305      -0.594998       0.159923      -0.594998       0.319846
